ID,Link,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
0,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/c/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-cl_egl.h-xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-cl_va_api_media_sharing_intel.h-0.html,29,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-cl_egl.h,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-cl_va_api_media_sharing_intel.h,49,55,6,74,80,6
1,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/c/redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-lstrlib.c-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-lstrlib.c-1.html,19,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-lstrlib.c,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-lstrlib.c,426,427,1,546,547,1
2,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/c/libpcap-MDEwOlJlcG9zaXRvcnk5NDM1ODg3-flat-sf-pcapng.c-libpcap-MDEwOlJlcG9zaXRvcnk5NDM1ODg3-flat-sf-pcapng.c-2.html,18,libpcap-MDEwOlJlcG9zaXRvcnk5NDM1ODg3-flat-sf-pcapng.c,libpcap-MDEwOlJlcG9zaXRvcnk5NDM1ODg3-flat-sf-pcapng.c,22,25,3,45,48,3
3,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/c/PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-lossless_enc.c-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-lossless_enc.c-3.html,25,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-lossless_enc.c,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-lossless_enc.c,315,320,5,333,338,5
4,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/c/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-topology-xml.c-xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-topology-xml.c-4.html,15,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-topology-xml.c,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-topology-xml.c,1175,1178,3,1234,1237,3
5,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/c/android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-cgeThread.h-android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-cgeThread.h-5.html,17,android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-cgeThread.h,android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-cgeThread.h,64,69,5,68,74,6
6,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/c/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-c_blake256.c-xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-c_blake256.c-6.html,93,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-c_blake256.c,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-c_blake256.c,198,209,11,222,233,11
7,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/c/redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-object.c-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-object.c-7.html,26,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-object.c,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-object.c,17,21,4,39,43,4
8,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/c/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-sph_shavite.c-xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-sph_echo.c-8.html,21,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-sph_shavite.c,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-sph_echo.c,1429,1436,7,668,674,6
9,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/c/fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-direct-r2r.c-fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-direct.c-9.html,22,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-direct-r2r.c,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-direct.c,49,54,5,148,153,5
